id,country,sth1,sth2,sth3,sth4,sth5,sth6,sth7,sth8,sth9
87,Portugalia,10 605 870,10 642 836,10 676 910,10 707 924,10 760 305,10 781 459,10 833 816,10 839 514,10 355 493
88,Dominikana,9 183 984,9 365 818,9 507 133,9 650 054,9 956 648,10 088 598,10 606 865,10 734 247,10 298 756
89,Sudan Południowy,9 130 730,9 354 914,9 593 468,9 870 957,10 245 127,10 625 176,12 530 717,13 026 129,10 204 581
90,Azerbejdżan,7 961 619,8 120 247,8 177 717,8 238 672,8 372 373,9 493 600,9 872 765,9 961 396,10 046 516
91,Szwecja,9 016 596,9 031 088,9 045 389,9 059 651,9 088 728,9 103 788,9 880 604,9 960 487,10 040 995
92,Węgry,9 981 334,9 956 108,9 930 915,9 905 596,9 976 062,9 958 453,9 874 784,9 850 845,9 825 704
93,Zjednoczone Emiraty Arabskie,2 602 713,4 444 011,4 621 399,4 798 491,5 148 664,5 314 317,5 927 482,6 072 475,9 701 315
94,Białoruś,10 293 011,9 724 723,9 685 768,9 648 533,9 577 552,9 542 883,9 570 376,9 549 747,9 527 543
95,Honduras,7 326 496,7 483 763,7 639 327,7 792 854,8 143 564,8 296 693,8 893 259,9 038 741,9 182 766
96,Austria,8 192 880,8 199 783,8 205 533,8 210 281,8 217 280,8 219 743,8 711 770,8 754 413,8 793 370
97,Tadżykistan,7 320 815,7 076 598,7 211 884,7 349 145,7 627 200,7 768 385,8 330 946,8 468 555,8 604 882
98,Izrael,6 352 117,6 426 679,7 112 359,7 233 701,7 473 052,7 590 758,8 174 527,8 299 706,8 424 904
99,Szwajcaria,7 523 934,7 554 661,7 581 520,7 604 467,7 639 961,7 655 628,8 179 294,8 236 303,8 292 809
100,Togo,5 548 702,5 701 579,5 858 673,6 019 877,6 771 993,6 961 049,7 756 937,7 965 055,8 176 449
101,Laos,6 368 481,6 521 998,6 677 534,6 834 942,6 477 211,6 586 266,7 019 073,7 126 706,7 235 171
102,Hongkong,6 940 432,6 980 412,7 018 636,7 055 071,7 122 508,7 153 519,7 167 403,7 191 503,7 213 338
103,Serbia,9 396 411,10 150 265,10 159 046,–,7 310 555,7 276 604,7 143 921,7 111 024,7 078 110
104,Bułgaria,7 385 367,7 322 858,7 262 675,7 204 687,7 093 635,7 037 935,7 144 653,7 101 510,7 057 504
105,Papua-Nowa Gwinea,5 670 544,5 795 887,5 931 769,6 057 263,6 187 591,6 310 129,6 791 317,6 909 701,7 027 332
106,Paragwaj,6 506 464,6 669 086,6 831 306,6 995 655,6 459 058,6 541 591,6 862 812,6 943 739,7 025 763
107,Libia,5 900 754,6 036 914,6 173 579,6 310 434,6 597 960,6 733 620,6 541 948,6 653 210,6 754 507
108,Sierra Leone,6 005 250,6 144 562,6 294 774,6 440 053,5 363 669,5 485 998,6 018 888,6 163 195,6 312 212
109,Salwador,6 822 378,6 948 073,7 066 403,7 185 218,6 071 774,6 090 646,6 156 670,6 172 011,6 187 271
110,Liban,3 874 050,3 925 502,3 971 941,4 017 095,4 143 101,4 140 289,6 237 738,6 229 794,6 100 075
111,Nikaragua,5 570 129,5 675 356,5 785 846,5 891 199,5 666 301,5 727 707,5 966 798,6 025 951,6 085 213
112,Singapur,4 492 150,4 553 009,4 608 167,4 657 542,4 740 737,5 353 494,5 781 728,5 888 926,5 995 991
113,Erytrea,4 786 994,4 906 585,5 028 475,5 647 168,5 939 484,6 086 495,5 869 869,5 918 919,5 970 646
114,Kirgistan,5 213 898,5 284 149,5 356 869,5 431 747,5 587 443,5 496 737,5 727 553,5 789 122,5 849 296
115,Dania,5 450 661,5 468 120,5 484 723,5 500 510,5 529 888,5 543 453,5 593 785,5 605 948,5 809 502
116,Republika Środkowoafrykańska,4 303 356,4 369 038,4 434 873,4 511 488,4 950 027,5 057 208,5 507 257,5 625 118,5 745 062
117,Finlandia,5 223 442,5 238 460,5 244 749,5 250 275,5 259 250,5 262 930,5 498 211,5 518 371,5 537 364
118,Słowacja,5 439 448,5 447 502,5 455 407,5 463 046,5 477 038,5 483 088,5 445 802,5 445 829,5 445 040
119,Turkmenistan,5 042 920,5 097 028,5 179 571,4 884 887,4 997 503,5 054 828,5 291 317,5 351 277,5 411 012
120,Norwegia,4 610 820,4 627 926,4 644 457,4 660 539,4 691 849,4 707 270,5 265 158,5 320 045,5 372 191
121,Irlandia,4 062 235,4 109 086,4 156 119,4 203 200,4 670 976,4 722 028,4 952 473,5 011 102,5 068 050
