idx,commune,district,voivodeship,sth1,sth2,sth3,sth4
1605032,gmina Strzeleczki,krapkowicki,opolskie,"117,37",7378,"62,86","-2,11"
0223092,gmina Żórawina,wrocławski,dolnośląskie,"120,27",11284,"93,82","28,29"
1426032,gmina Kotuń,siedlecki,mazowieckie,"150,47",8474,"56,32","-4,21"
3024083,gmina Wronki,szamotulski,wielkopolskie,"301,72",19078,"63,23","0,66"
0204022,gmina Jemielno,górowski,dolnośląskie,"124,02",2971,"23,96","-10,65"
1420021,Raciąż,płoński,mazowieckie,"8,4",4390,"522,62",-6
0618072,gmina Rachanie,tomaszowski,lubelskie,"94,3",5025,"53,29","-13,62"
2609043,gmina Koprzywnica,sandomierski,świętokrzyskie,"69,33",6591,"95,07","-7,62"
0225043,gmina Pieńsk,zgorzelecki,dolnośląskie,"110,53",9015,"81,56","-6,35"
3020052,gmina Gołuchów,pleszewski,wielkopolskie,"135,88",10789,"79,4","6,42"
1001011,Bełchatów,bełchatowski,łódzkie,"34,64",56740,"1637,99","-8,33"
2819022,gmina Pozezdrze,węgorzewski,warmińsko-mazurskie,"176,78",3220,"18,21","-8,55"
0804043,gmina Kożuchów,nowosolski,lubuskie,"179,18",15868,"88,56","-4,35"
2206022,gmina Dziemiany,kościerski,pomorskie,"125,38",4410,"35,17","6,04"
0202021,Dzierżoniów,dzierżoniowski,dolnośląskie,"20,07",33075,"1647,98","-6,29"
1433011,Węgrów,węgrowski,mazowieckie,"35,51",12526,"352,75","-6,44"
1420122,gmina Załuski,płoński,mazowieckie,"108,48",5651,"52,09","-2,41"
2211052,gmina Kosakowo,pucki,pomorskie,"50,14",15977,"318,65","52,61"
0401052,gmina Bądkowo,aleksandrowski,kujawsko-pomorskie,"79,7",4189,"52,56","-10,52"
1861011,Krosno,Krosno,podkarpackie,"43,5",46139,"1060,67","-2,44"
2216042,gmina Stary Targ,sztumski,pomorskie,"141,35",6217,"43,98","-7,81"
0616043,gmina Ryki,rycki,lubelskie,"161,76",20331,"125,69","-3,13"
2204011,Pruszcz Gdański,gdański,pomorskie,"16,47",31471,"1910,81","12,86"
1218082,gmina Tomice,wadowicki,małopolskie,"41,53",8205,"197,57","6,92"
2814072,gmina Jonkowo,olsztyński,warmińsko-mazurskie,"168,69",7458,"44,21","8,96"
0408032,gmina Chrostkowo,lipnowski,kujawsko-pomorskie,"74,06",2869,"38,74","-6,08"
2808011,Kętrzyn,kętrzyński,warmińsko-mazurskie,"10,35",26988,"2607,54","-5,68"
1012092,gmina Ładzice,radomszczański,łódzkie,"82,77",4754,"57,44","-2,51"
1012011,Radomsko,radomszczański,łódzkie,"51,43",45686,"888,31","-5,13"
3210033,gmina Dębno,myśliborski,zachodniopomorskie,"318,43",20432,"64,16","-6,54"
0611102,gmina Wojcieszków,łukowski,lubelskie,"108,91",6831,"62,72","-7,83"
0407011,Inowrocław,inowrocławski,kujawsko-pomorskie,"30,42",72226,"2374,29","-7,22"
2206032,gmina Karsin,kościerski,pomorskie,"169,43",6249,"36,88","-0,48"
2211072,gmina Puck,pucki,pomorskie,"237,38",26899,"113,32","13,6"
3017072,gmina Sieroszewice,ostrowski,wielkopolskie,"163,17",9665,"59,23","-0,48"
2408052,gmina Wyry,mikołowski,śląskie,"34,62",8541,"246,71","20,1"
1416043,gmina Brok,ostrowski,mazowieckie,"109,91",2804,"25,51","-7,15"
0219021,Świebodzice,świdnicki,dolnośląskie,"30,43",22715,"746,47","-2,51"
3203033,gmina Kalisz Pomorski,drawski,zachodniopomorskie,"480,87",7359,"15,3","-1,81"
0609062,gmina Jabłonna,lubelski,lubelskie,"131,21",8075,"61,54","2,99"
0403022,gmina Dąbrowa Chełmińska,bydgoski,kujawsko-pomorskie,"125,04",8389,"67,09","5,54"
1819012,gmina Czudec,strzyżowski,podkarpackie,"84,7",11817,"139,52","0,42"
2409042,gmina Poraj,myszkowski,śląskie,"57,06",10874,"190,57","-1,07"
1409012,gmina Chotcza,lipski,mazowieckie,"89,82",2320,"25,83","-3,85"
1434123,gmina Wołomin,wołomiński,mazowieckie,"61,66",51854,"840,97","0,26"
0226062,gmina Złotoryja,złotoryjski,dolnośląskie,"144,95",6995,"48,26","-3,6"
1602022,gmina Branice,głubczycki,opolskie,"121,63",6400,"52,62","-6,48"
0219072,gmina Świdnica,świdnicki,dolnośląskie,"207,84",17356,"83,51","3,68"
1608023,gmina Gorzów Śląski,oleski,opolskie,"153,71",7116,"46,29","-2,79"
2462011,Bytom,Bytom,śląskie,"69,44",164447,"2368,19",-9
1402062,gmina Ojrzeń,ciechanowski,mazowieckie,"120,24",4296,"35,73","-1,39"
3215023,gmina Barwice,szczecinecki,zachodniopomorskie,"258,52",8458,"32,72","-8,26"
0415082,gmina Wielka Nieszawka,toruński,kujawsko-pomorskie,"216,22",5270,"24,37","13,65"
1219022,gmina Gdów,wielicki,małopolskie,"108,72",18357,"168,85","8,19"
1419112,gmina Słubice,płocki,mazowieckie,"95,82",4418,"46,11","-5,45"
1416011,Ostrów Mazowiecka,ostrowski,mazowieckie,"22,27",22332,"1002,78","-5,14"
2006062,gmina Turośl,kolneński,podlaskie,"198,79",5107,"25,69","-0,59"
1210082,gmina Łabowa,nowosądecki,małopolskie,"119,15",6108,"51,26","6,58"
0619062,gmina Włodawa,włodawski,lubelskie,"245,03",6080,"24,81","-1,53"
2610053,gmina Suchedniów,skarżyski,świętokrzyskie,"74,95",10068,"134,33","-8,72"
3004033,gmina Krobia,gostyński,wielkopolskie,"129,54",12968,"100,11","-3,37"
1206032,gmina Iwanowice,krakowski,małopolskie,"71,09",9183,"129,17","5,17"
1814053,gmina Kańczuga,przeworski,podkarpackie,"105,03",12286,"116,98","-3,45"
1204052,gmina Olesno,dąbrowski,małopolskie,"77,6",7976,"102,78","2,48"
2406013,gmina Kłobuck,kłobucki,śląskie,"130,01",20297,"156,12","-2,81"
0214062,gmina Oleśnica,oleśnicki,dolnośląskie,"242,85",13965,"57,5","19,63"
0223043,gmina Kąty Wrocławskie,wrocławski,dolnośląskie,"176,66",25614,"144,99","27,41"
3214062,gmina Kobylanka,stargardzki,zachodniopomorskie,"121,68",5768,"47,4","26,29"
2802053,gmina Pieniężno,braniewski,warmińsko-mazurskie,"242,94",6149,"25,31","-11,86"
3022013,gmina Bojanowo,rawicki,wielkopolskie,"123,5",8730,"70,69","-3,53"
2009042,gmina Puńsk,sejneński,podlaskie,"138,59",4157,"29,99","-0,32"
2006011,Kolno,kolneński,podlaskie,"25,07",10164,"405,42","-7,49"
0223052,gmina Kobierzyce,wrocławski,dolnośląskie,"149,26",22024,"147,55","30,44"
0219052,gmina Marcinowice,świdnicki,dolnośląskie,"95,24",6533,"68,6","1,79"
0207042,gmina Marciszów,kamiennogórski,dolnośląskie,"81,57",4507,"55,25","-5,27"
1812042,gmina Krzeszów,niżański,podkarpackie,"62,32",4246,"68,13","-1,17"
0220023,gmina Prusice,trzebnicki,dolnośląskie,"157,98",9380,"59,37","1,1"
1402011,Ciechanów,ciechanowski,mazowieckie,"32,78",44044,"1343,62","-2,19"
2403062,gmina Dębowiec,cieszyński,śląskie,"42,64",5838,"136,91","0,57"
1422032,gmina Czernice Borowe,przasnyski,mazowieckie,"120,18",3779,"31,44","-5,93"
0608132,gmina Uścimów,lubartowski,lubelskie,"107,08",3165,"29,56","-11,22"
2605052,gmina Ruda Maleniecka,konecki,świętokrzyskie,"110,05",3057,"27,78","-8,47"
0205023,gmina Bolków,jaworski,dolnośląskie,"152,6",10363,"67,91","-7,76"
1807052,gmina Korczyna,krośnieński,podkarpackie,"93,06",11178,"120,12","0,6"
0411053,gmina Piotrków Kujawski,radziejowski,kujawsko-pomorskie,"138,67",9219,"66,48","-5,19"
1430032,gmina Mirów,szydłowiecki,mazowieckie,"53,05",3892,"73,36","0,77"
0810032,gmina Brzeźnica,żagański,lubuskie,"122,18",3733,"30,55","-1,51"
1811042,gmina Gawłuszowice,mielecki,podkarpackie,"34,01",2722,"80,04","-5,45"
3023042,gmina Ostrowite,słupecki,wielkopolskie,"103,55",5051,"48,78","-6,64"
1206082,gmina Michałowice,krakowski,małopolskie,"51,13",10846,"212,13","18,95"
1010093,gmina Sulejów,piotrkowski,łódzkie,"188,23",16340,"86,81","1,72"
2806042,gmina Giżycko,giżycki,warmińsko-mazurskie,"297,06",8551,"28,79","6,64"
0418092,gmina Kowal,włocławski,kujawsko-pomorskie,"114,79",3904,"34,01","-2,63"
0616062,gmina Ułęż,rycki,lubelskie,"83,47",3171,"37,99","-1,05"
1012032,gmina Gidle,radomszczański,łódzkie,"115,98",6015,"51,86","-8,28"
2205012,gmina Chmielno,kartuski,pomorskie,"78,61",7828,"99,58","11,32"
2819033,gmina Węgorzewo,węgorzewski,warmińsko-mazurskie,"341,47",16563,"48,5","-8,62"
2012012,gmina Bakałarzewo,suwalski,podlaskie,"122,56",3098,"25,28","-0,75"
1434082,gmina Poświętne,wołomiński,mazowieckie,"103,95",6247,"60,1","2,79"
2606012,gmina Baćkowice,opatowski,świętokrzyskie,"96,13",4864,"50,6","-2,46"
1406073,gmina Mogielnica,grójecki,mazowieckie,"140,99",8615,"61,1","-5,7"
2601083,gmina Wiślica,buski,świętokrzyskie,"100,32",5437,"54,2","-5,76"
0609132,gmina Wojciechów,lubelski,lubelskie,"80,79",5981,"74,03","0,28"
1425092,gmina Przytyk,radomski,mazowieckie,"134,37",7300,"54,33","-0,23"
1804062,gmina Pawłosiów,jarosławski,podkarpackie,"47,42",8434,"177,86","0,59"
1813072,gmina Orły,przemyski,podkarpackie,"70,47",8889,"126,14","0,56"
1425132,gmina Zakrzew,radomski,mazowieckie,"96,3",13252,"137,61","10,14"
2216032,gmina Stary Dzierzgoń,sztumski,pomorskie,"185,7",3888,"20,94","-15,94"
